ETL,Input,Output
00-daily,db_sqs.fibersqs_featuresv1,db_fiber_ad.fiber_ad_main
00-dailyRun,alarms-ams.tier2/p1,db_alarms.allalarms
00-ETL_T2_p1,alarms-ams.tier1,alarms-ams.tier2/p1
00-ETL_T2_p2,alarms-ams.tier1,alarms-ams.tier2/p2
BusyHour-Tier6-2023-PRD_UC,db_edw.tbl_edw_usi_clli,db_busyhour.tbl_tier6_clli_busyhour
BusyHour-Tier6-2023-PRD_UC,db_edw.tbl_edw_usi_clli_copper,data.tier6/project_busyhour/pon_busy_hour_columns_test2
cad-prediction,db_cad.tbl_tier3_cad,db_cad.copper_anomalies
cad-tier2-etl_UC,db_cpe.tbl_tier2_eco_elementtsdata,db_cad.tbl_tier2_cad
cad-tier3-etl_UC,db_cad.tbl_tier2_cad,db_cad.tbl_tier3_cad
clusterWarehouseCost_Job_Scheduler,system.compute.clusters,db_cost_tracking.clusters_cost
clusterWarehouseCost_Job_Scheduler,system.billing.usage,db_cost_tracking.warehouses_cost
csqs-etl-tier1,db_cad.tbl_tier3_cad,db_sqs.coppersqs
data_pipelineETL_run-UC,light_levels_dashboard.lightlevel_complete_usi,db_sqs.fibersqs_featuresv1
eco_t1tot2_dailyparams,eco.data.tier1/dailyparams,db_cpe.tbl_tier2_eco_dailyparams
eco_t2tot3_dailyparams,db_cpe.tbl_tier2_eco_dailyparams,db_cpe.tbl_tier3_eco_dailyparams
eco_t1tot2_hosttable_data, eco.data.tier1/host-table-data,db_cpe.tbl_tier2_eco_hosttable
eco_t2tot3_hosttable_data,db_cpe.tbl_tier2_eco_hosttable,db_cpe.tbl_tier3_eco_dailyparams
eco_t1tot2_elementevents_data,eco.data.tier1/element-event,db_cpe.tbl_tier2_eco_elementevent
eco_t1tot2_element_ts_data,eco.data.tier1/element-ts-data,db_cpe.tbl_tier2_eco_elementtsdata
eco_t2tot3_element_ts_data,eco.data.tier1,eco.data.tier3/project_customerclassification/elements-ts-data/staging02/__staging02_elements_ts_data_summary
eco_t2tot3_element_ts_data,eco.data.tier2,db_cpe.tbl_tier3_elementtsdata
busyhour_t4,db_cpe.tbl_tier3_elementtsdata,db_busyhour.tbl_tier4_clli_busyhour
busyhour_t4,db_edw.tbl_edw_usi_clli_copper,data.tier4/project_busyhour/clli_busy_15min
busyhour_t4,db_edw.tbl_edw_usi_clli,db_busyhour.tbl_tier4_clli_busyhour_15min_rg_ids
busyhour_t5,db_edw.tbl_edw_usi_clli,data.tier5-ts-data/staging02/project_busyhour/tier5_busyhour_elementtsdata
eero_data_download_t1_t2,https://api-user.e2ro.com/2.2/organizations/self/data_aggregation_jobs,ftrml-developers.db_eero
Eero_device_data_t2_t3_ETL,ftrml-developers.db_eero,db_eero.tbl_tier3_client_connection
Eero_network_data_t2_t3_ETL,ftrml-developers.db_eero,db_eero.tbl_tier3_eero_network
etl-tier2-light-level-complete_UC,pon.light.level.data.tier1/data,light_levels_dashboard.lightlevel_complete
light-level-complete-add-usi,light_levels_dashboard.lightlevel_complete,light_levels_dashboard.lightlevel_complete_usi
monthly_scorecard_status,`it-shared`.scorecard.saafactfeaturemonthlysnapv,`ftrml-nana`.db_scorecard.customers_monthly_status
NewCustomerSQSPerformanceScheduler,db_sqs.fibersqsv1,db_new_customers_sqs_performance.new_customers_sqs_performance_data
nmars_tier1_to_tier2_etl,nmars.data.tier2/ponutildump,db_ponutilization.tbl_tier2_nmars_ponutilization
nmars_tier2_to_tier3_etl,db_ponutilization.tbl_tier2_nmars_ponutilization,db_ponutilization.tbl_tier3_nmars_ponutilization
NOAA_daily_download,https://noaa-ghcn-pds.s3.amazonaws.com/ghcnd-stations.txt,db_weather.noaa_weather
PBICusCountDataScheduler,db_edw.tbl_pon_type,db_cus_count.pon_mbym
